"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",13.6109902955,0.0396741714950835,2.00756757597728,8.788574,12.545975,14.00265,15.087525,16.376475,2560.4990150128,1.00036219814028
"CL",5.57501611125,0.00818823052099498,0.545150812884576,4.44719,5.2321475,5.60049,5.9251375,6.609364,4432.5455430949,1.00053359434482
"Q",8.11672360125,0.0214078545773254,1.54112995756994,5.6492255,7.0896875,7.943625,8.9224775,11.610575,5182.41554531859,1.00038304305878
"V1",24.2940327,0.0567973053775325,3.7785951521976,17.38162,21.661,24.0825,26.688175,32.3787975,4425.93734868686,1.00006041308709
"V2",56.8771255,0.217813298312196,13.7757215744582,35.7667525,47.135775,54.7981,64.757275,88.620185,3999.99943532732,1.00070700634442
"ka",1.641492222,0.00618541858688119,0.418148718090131,1.039159,1.35665,1.579255,1.8407225,2.63356725,4570.07523108916,1.00012488206225
"sigma",0.18118737375,0.000703366984765627,0.0439257519603329,0.118155825,0.15006275,0.1738185,0.20382725,0.28617715,3900.08840419054,0.999964848674548
