# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LinTwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.data.R
# init = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.init.R
# random
#   seed = 334584
# output
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel/LinTwoCptModel3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,K.1.1,K.2.1,K.3.1,K.1.2,K.2.2,K.3.2,K.1.3,K.2.3,K.3.3,k10,k12,k21,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,x.7.1,x.8.1,x.9.1,x.10.1,x.11.1,x.12.1,x.13.1,x.14.1,x.15.1,x.16.1,x.17.1,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,x.7.2,x.8.2,x.9.2,x.10.2,x.11.2,x.12.2,x.13.2,x.14.2,x.15.2,x.16.2,x.17.2,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,x.7.3,x.8.3,x.9.3,x.10.3,x.11.3,x.12.3,x.13.3,x.14.3,x.15.3,x.16.3,x.17.3,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16
# Adaptation terminated
# Step size = 0.210059
# Diagonal elements of inverse mass matrix:
# 0.0141698, 0.0178598, 0.0228224, 0.0768556, 0.0478216, 0.074289
12.508,0.986315,0.210059,2,3,0,-11.9627,4.50463,4.25291,18.5916,41.6686,0.694715,0.141038,-0.694715,0.694715,0,0,-0.471047,0.228754,0,0.102065,-0.102065,0.242294,0.228754,0.102065,0,69.9101,90.8315,104.999,113.904,118.751,120.504,119.938,84.0646,51.0589,33.4262,24.833,20.3932,17.7268,15.8281,14.2963,12.9736,69.9101,90.8315,104.999,113.904,118.751,120.504,119.938,84.0646,51.0589,33.4262,24.833,20.3932,17.7268,15.8281,14.2963,12.9736,5000,3532.76,2969.52,2496.08,2098.12,1763.61,1482.43,1246.09,310.546,77.3933,19.2877,4.80683,1.19794,0.298548,0.0744033,0.0185426,0.00462113,0,1299.74,1688.71,1952.1,2117.67,2207.77,2240.36,2229.83,1562.9,949.268,621.448,461.687,379.144,329.57,294.27,265.791,241.2,0,80.5968,163.65,262.868,371.568,484.645,598.255,709.56,1374.37,1625.21,1639.88,1556.23,1440.61,1320.2,1204.95,1097.98,999.87,58.0512,90.356,125.813,102.878,104.868,152.621,162.858,102.347,48.6164,29.7581,29.9356,20.9578,14.9332,15.3149,13.5103,11.7367
12.9961,0.974343,0.210059,4,15,0,-8.75436,3.93112,3.82369,19.1714,56.0752,0.722106,0.102724,-0.722106,0.722106,0,0,-0.404499,0.199447,0,0.0681885,-0.0681885,0.205051,0.199447,0.0681885,0,71.169,92.9291,107.96,117.697,123.306,125.728,125.723,90.6698,55.0588,34.8219,24.6629,19.5818,16.8444,15.1607,13.9573,12.9864,71.169,92.9291,107.96,117.697,123.306,125.728,125.723,90.6698,55.0588,34.8219,24.6629,19.5818,16.8444,15.1607,13.9573,12.9864,5000,3484.71,2909.14,2428.64,2027.5,1692.62,1413.05,1179.66,278.32,65.6645,15.4924,3.65514,0.862365,0.20346,0.0480026,0.0113254,0.00267201,0,1364.41,1781.58,2069.74,2256.41,2363.94,2410.37,2410.28,1738.27,1055.55,667.585,472.822,375.41,322.931,290.651,267.581,248.968,0,73.9473,151.09,244.23,347.425,456.059,566.593,676.346,1378.9,1711.72,1805.23,1782.65,1711.12,1622.06,1529.13,1437.98,1350.79,77.4883,89.29,102.198,108.76,134.38,98.421,107.066,94.259,53.2835,28.9317,21.5676,18.0558,20.6251,14.5568,12.0224,11.5115
15.49,0.68098,0.210059,3,7,0,-11.0788,4.15387,4.30115,19.9481,48.5814,0.75787,0.0919925,-0.75787,0.75787,0,0,-0.423851,0.215617,0,0.088535,-0.088535,0.208234,0.215617,0.088535,0,70.8288,91.8936,106.098,114.981,119.777,121.471,120.849,84.8541,51.8303,34.0404,25.3127,20.848,18.2518,16.4749,15.0798,13.8873,70.8288,91.8936,106.098,114.981,119.777,121.471,120.849,84.8541,51.8303,34.0404,25.3127,20.848,18.2518,16.4749,15.0798,13.8873,5000,3422.95,2832.15,2343.32,1938.86,1604.21,1327.32,1098.23,241.221,52.9831,11.6375,2.55612,0.561441,0.123318,0.0270862,0.00594937,0.00130675,0,1412.9,1833.1,2116.45,2293.65,2389.32,2423.12,2410.7,1692.68,1033.92,679.042,504.941,415.877,364.09,328.643,300.814,277.025,0,82.8715,168.31,270.467,382.532,499.312,616.903,732.423,1436.07,1726.94,1775.02,1715.9,1617.1,1507.73,1399.39,1296.35,1199.92,68.0285,85.7132,106.363,117.216,119.688,126.239,112.494,81.1428,53.1911,35.8643,23.4406,22.7933,19.4847,16.4905,17.1722,13.5859
12.0299,0.759986,0.210059,3,7,0,-11.2858,4.2956,5.48797,20.001,50.7853,0.756822,0.0891092,-0.756822,0.756822,0,0,-0.489153,0.274384,0,0.108062,-0.108062,0.214769,0.274384,0.108062,0,69.4236,89.3605,102.37,110.093,113.827,114.6,113.214,76.3058,46.6928,32.0585,25.2079,21.6247,19.3429,17.6043,16.1294,14.815,69.4236,89.3605,102.37,110.093,113.827,114.6,113.214,76.3058,46.6928,32.0585,25.2079,21.6247,19.3429,17.6043,16.1294,14.815,5000,3424.74,2834.37,2345.77,1941.4,1606.74,1329.76,1100.53,242.234,53.3172,11.7355,2.58305,0.568546,0.125141,0.0275442,0.00606266,0.00133443,0,1388.54,1787.3,2047.51,2201.97,2276.67,2292.11,2264.4,1526.2,933.905,641.203,504.184,432.516,386.879,352.105,322.606,296.316,0,103.864,209.512,334.414,469.838,609.266,747.916,882.368,1652.95,1918.68,1922.68,1826.37,1700.28,1570.95,1447.36,1332.12,1225.58,67.5119,82.5129,99.4563,111.649,118.966,113.967,99.7495,79.1372,50.3654,38.9225,23.8916,20.8776,20.8968,16.9858,15.6349,15.2129
6.83145,0.561684,0.210059,4,15,0,-4.86757,4.77495,3.12448,20.7314,35.1384,0.827195,0.161372,-0.827195,0.827195,0,0,-0.381038,0.150713,0,0.0889193,-0.0889193,0.230325,0.150713,0.0889193,0,73.9441,95.6947,110.242,119.24,124.003,125.574,124.774,87.0422,52.4334,33.2261,23.4113,18.2352,15.2307,13.2496,11.776,10.5789,73.9441,95.6947,110.242,119.24,124.003,125.574,124.774,87.0422,52.4334,33.2261,23.4113,18.2352,15.2307,13.2496,11.776,10.5789,5000,3306.34,2688.66,2186.37,1777.92,1445.78,1175.68,956.044,182.804,34.9537,6.68346,1.27794,0.244352,0.0467223,0.00893372,0.0017082,0.000326624,0,1532.96,1983.88,2285.46,2472,2570.76,2603.33,2586.75,1804.5,1087.02,688.823,485.348,378.04,315.754,274.683,244.132,219.316,0,62.9676,127.663,204.826,289.285,377.121,465.409,552.004,1076.66,1289.47,1316.95,1260.58,1172.51,1076.34,982.003,893.351,811.592,77.8486,106.878,131.458,149.548,98.8914,108.733,121.356,109.527,40.7216,26.2705,25.2605,26.8309,14.1825,10.0693,14.6059,9.22689
9.37801,1,0.210059,2,3,0,-6.31564,4.49553,3.28989,22.9169,34.9216,0.817044,0.160209,-0.817044,0.817044,0,0,-0.339724,0.143558,0,0.0942078,-0.0942078,0.196167,0.143558,0.0942078,0,66.9473,87.2319,101.194,110.233,115.47,117.798,117.928,87.6193,56.1453,37.3547,27.0808,21.3299,17.8468,15.5038,13.7579,12.3489,66.9473,87.2319,101.194,110.233,115.47,117.798,117.928,87.6193,56.1453,37.3547,27.0808,21.3299,17.8468,15.5038,13.7579,12.3489,5000,3323.16,2709.2,2208.68,1800.62,1467.96,1196.75,975.652,190.379,37.1488,7.24886,1.41447,0.276007,0.0538573,0.0105092,0.00205066,0.000400147,0,1534.22,1999.08,2319.05,2526.21,2646.22,2699.57,2702.55,2007.96,1286.67,856.053,620.607,488.815,408.994,355.3,315.287,282.999,0,59.6957,121.484,195.638,277.322,362.833,449.369,534.845,1070.06,1307.96,1356.43,1312.66,1230.3,1135.39,1039.8,948.595,863.714,61.4599,129.651,66.2816,111.644,113.834,121.45,94.0677,94.6613,68.2809,44.583,28.1002,23.143,16.0977,14.3309,16.6656,16.6827
11.2458,0.969233,0.210059,3,7,0,-7.39697,4.36897,3.39156,24.3409,34.2791,1.00887,0.106317,-1.00887,1.00887,0,0,-0.318827,0.139336,0,0.0989396,-0.0989396,0.179491,0.139336,0.0989396,0,74.7682,95.6751,109.141,117.063,120.896,121.749,120.469,84.9334,54.5542,37.3193,27.8663,22.4076,18.9643,16.563,14.7287,13.2282,74.7682,95.6751,109.141,117.063,120.896,121.749,120.469,84.9334,54.5542,37.3193,27.8663,22.4076,18.9643,16.563,14.7287,13.2282,5000,3019.23,2346.17,1823.15,1416.72,1100.9,855.484,664.775,88.3852,11.7513,1.56239,0.207728,0.0276184,0.00367201,0.000488212,6.49103e-05,8.63015e-06,0,1819.93,2328.82,2656.59,2849.42,2942.71,2963.49,2932.33,2067.36,1327.9,908.387,678.293,545.421,461.61,403.158,358.51,321.987,0,69.6076,139.913,222.73,312.355,404.617,496.514,585.934,1117.64,1335.36,1371.25,1321.89,1237.3,1141.41,1045.19,953.428,867.998,74.1112,108.006,133.731,142.211,122.908,113.964,119.874,73.0645,46.4349,37.2765,33.8648,24.1701,16.6082,20.2051,14.559,14.7657
15.0644,0.991446,0.210059,4,15,0,-9.39969,4.33298,4.90227,22.8372,49.815,0.894687,0.106653,-0.894687,0.894687,0,0,-0.404395,0.214662,0,0.0984096,-0.0984096,0.189734,0.214662,0.0984096,0,71.0283,90.977,103.779,111.203,114.63,115.129,113.524,76.5108,47.1548,32.1644,24.8334,20.9321,18.5154,16.763,15.337,14.0973,71.0283,90.977,103.779,111.203,114.63,115.129,113.524,76.5108,47.1548,32.1644,24.8334,20.9321,18.5154,16.763,15.337,14.0973,5000,3196.62,2555.95,2043.68,1634.08,1306.57,1044.71,835.324,139.553,23.3145,3.89503,0.650722,0.108713,0.0181621,0.00303425,0.000506916,8.46878e-05,0,1622.09,2077.66,2370.01,2539.57,2617.83,2629.21,2592.58,1747.29,1076.88,734.544,567.126,478.029,422.84,382.82,350.253,321.942,0,95.4557,192.073,305.948,429.128,555.751,681.57,803.585,1510.77,1774.07,1799.92,1727.22,1620.12,1505.16,1392.65,1286.3,1187.18,75.5354,109.902,111.882,128.35,135.274,140.563,104.498,76.7887,56.4447,36.2226,23.7925,21.713,17.0235,16.2708,18.0808,15.7257
