# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LinTwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.data.R
# init = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.init.R
# random
#   seed = 96880
# output
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel/LinTwoCptModel1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,K.1.1,K.2.1,K.3.1,K.1.2,K.2.2,K.3.2,K.1.3,K.2.3,K.3.3,k10,k12,k21,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,x.7.1,x.8.1,x.9.1,x.10.1,x.11.1,x.12.1,x.13.1,x.14.1,x.15.1,x.16.1,x.17.1,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,x.7.2,x.8.2,x.9.2,x.10.2,x.11.2,x.12.2,x.13.2,x.14.2,x.15.2,x.16.2,x.17.2,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,x.7.3,x.8.3,x.9.3,x.10.3,x.11.3,x.12.3,x.13.3,x.14.3,x.15.3,x.16.3,x.17.3,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16
# Adaptation terminated
# Step size = 0.206822
# Diagonal elements of inverse mass matrix:
# 0.012807, 0.0194115, 0.0261157, 0.0686553, 0.0492968, 0.0857675
11.3408,0.991153,0.206822,3,15,0,-9.87519,4.47909,4.6497,25.9921,48.5316,1.39088,0.135434,-1.39088,1.39088,0,0,-0.351214,0.178889,0,0.0958076,-0.0958076,0.172325,0.178889,0.0958076,0,87.5959,107.297,117.541,121.454,121.209,118.31,113.794,69.8266,43.513,30.5333,23.8786,20.1188,17.7074,15.9523,14.5419,13.3336,87.5959,107.297,117.541,121.454,121.209,118.31,113.794,69.8266,43.513,30.5333,23.8786,20.1188,17.7074,15.9523,14.5419,13.3336,5000,2494.28,1761.7,1244.29,878.836,620.72,438.413,309.65,19.1766,1.1876,0.0735483,0.00455484,0.000282081,1.74692e-05,1.08187e-06,6.70001e-08,4.14931e-09,0,2276.8,2788.87,3055.14,3156.85,3150.47,3075.13,2957.74,1814.94,1130.99,793.624,620.655,522.929,460.253,414.634,377.974,346.568,0,115.624,225.952,350.489,479.948,608.268,731.621,847.71,1464.83,1672.66,1686.21,1618.62,1520.69,1414.62,1309.81,1210.08,1116.74,80.8495,107.324,105.277,127.819,118.784,132.062,105.915,80.7873,45.0244,30.3868,28.4119,19.1175,21.3492,11.2026,11.6371,12.3271
13.6164,0.920975,0.206822,4,23,0,-9.65773,3.83306,4.38344,20.1177,56.3907,0.827578,0.112205,-0.827578,0.827578,0,0,-0.408422,0.21789,0,0.0777333,-0.0777333,0.190532,0.21789,0.0777333,0,75.7016,97.6218,112.062,120.779,125.163,126.309,125.078,85.4121,51.4739,33.6948,25.1266,20.829,18.3974,16.7802,15.5351,14.4784,75.7016,97.6218,112.062,120.779,125.163,126.309,125.078,85.4121,51.4739,33.6948,25.1266,20.829,18.3974,16.7802,15.5351,14.4784,5000,3305.7,2687.88,2185.53,1777.07,1444.95,1174.89,955.312,182.524,34.8735,6.66301,1.27305,0.243232,0.0464725,0.00887914,0.00169647,0.000324131,0,1522.94,1963.92,2254.43,2429.79,2517.98,2541.04,2516.28,1718.29,1035.54,677.861,505.488,419.032,370.114,337.578,312.53,291.271,0,90.838,183.949,294.807,415.947,541.745,668.03,791.766,1542.22,1859.77,1927.31,1883.54,1796.62,1696.13,1594.2,1495.55,1401.86,60.0718,95.6988,99.4949,113.184,113.46,108.117,125.002,79.3151,40.8489,34.0695,28.8609,18.9921,16.8313,15.4759,16.9247,12.4893
14.7789,0.783,0.206822,2,7,0,-8.91716,4.02484,4.47552,21.1665,64.2986,0.80686,0.104249,-0.80686,0.80686,0,0,-0.401595,0.211443,0,0.0696053,-0.0696053,0.190151,0.211443,0.0696053,0,70.6183,91.3542,105.185,113.695,118.144,119.534,118.654,81.9926,49.2044,31.6203,23.0658,18.8207,16.4993,15.0265,13.9386,13.0386,70.6183,91.3542,105.185,113.695,118.144,119.534,118.654,81.9926,49.2044,31.6203,23.0658,18.8207,16.4993,15.0265,13.9386,13.0386,5000,3340.12,2729.98,2231.29,1823.69,1490.55,1218.27,995.728,198.295,39.4895,7.86416,1.56611,0.311884,0.0621103,0.012369,0.00246323,0.000490541,0,1494.74,1933.65,2226.4,2406.52,2500.7,2530.11,2511.5,1735.5,1041.49,669.292,488.222,398.369,349.232,318.058,295.032,275.983,0,86.4434,175.538,282.092,399.059,521.085,644.157,765.321,1516.09,1852.23,1938.97,1910.37,1834.76,1742.81,1647.51,1554.14,1464.7,66.9596,92.8489,112.636,119.167,105.922,113.75,100.655,89.138,51.9977,26.5369,21.2262,19.7877,18.5712,15.9497,13.6637,12.5995
15.0569,0.948886,0.206822,4,23,0,-12.8806,3.85181,4.4727,20.7289,61.9383,0.767883,0.105913,-0.767883,0.767883,0,0,-0.401589,0.215771,0,0.0722121,-0.0722121,0.185818,0.215771,0.0722121,0,69.2786,90.0277,104.114,113.016,117.923,119.786,119.362,84.6556,51.731,33.6184,24.6689,20.1825,17.7108,16.1334,14.9632,13.9924,69.2786,90.0277,104.114,113.016,117.923,119.786,119.362,84.6556,51.731,33.6184,24.6689,20.1825,17.7108,16.1334,14.9632,13.9924,5000,3405.86,2810.96,2319.97,1914.75,1580.3,1304.27,1076.45,231.751,49.8939,10.7417,2.31259,0.49788,0.107189,0.0230768,0.00496823,0.00106961,0,1436.07,1866.18,2158.16,2342.7,2444.41,2483.02,2474.25,1754.82,1072.33,696.873,511.36,418.362,367.127,334.428,310.17,290.048,0,84.4368,171.921,276.979,392.763,514.022,636.779,758.071,1519.92,1869.17,1962.92,1936.42,1860.34,1766.83,1669.63,1574.3,1482.98,57.5135,93.0174,91.1204,101.967,126.192,114.485,123.72,75.3399,45.18,34.0994,19.9404,18.4014,18.0826,15.3831,13.0283,16.7701
15.3163,0.919242,0.206822,2,7,0,-13.8245,3.82142,4.62459,21.2317,68.4172,0.857889,0.0875703,-0.857889,0.857889,0,0,-0.397802,0.217815,0,0.0675939,-0.0675939,0.179986,0.217815,0.0675939,0,74.0121,95.2406,109.11,117.377,121.422,122.331,120.948,81.7388,48.7631,31.538,23.2693,19.1885,16.9588,15.542,14.4927,13.6217,74.0121,95.2406,109.11,117.377,121.422,122.331,120.948,81.7388,48.7631,31.538,23.2693,19.1885,16.9588,15.542,14.4927,13.6217,5000,3255.98,2627.47,2120.28,1711,1380.72,1114.2,899.119,161.683,29.0745,5.22829,0.940171,0.169065,0.030402,0.005467,0.000983098,0.000176784,0,1571.4,2022.12,2316.6,2492.12,2578.01,2597.29,2567.94,1735.45,1035.32,669.606,494.047,407.405,360.064,329.983,307.704,289.213,0,94.0101,190.288,304.871,430.066,560.096,690.692,818.752,1601.86,1947.48,2038.03,2012.27,1939.14,1849.24,1755.48,1663.14,1574.28,76.6605,84.0526,104.909,115.799,102.271,118.449,113.412,78.5419,48.5918,30.275,22.1651,22.1087,17.0934,16.2113,15.7651,12.4988
11.5943,0.535732,0.206822,4,23,0,-10.3441,4.478,4.04342,28.384,40.6615,1.08835,0.139475,-1.08835,1.08835,0,0,-0.300219,0.142454,0,0.0994409,-0.0994409,0.157765,0.142454,0.0994409,0,68.229,86.8115,98.5418,105.252,108.323,108.788,107.422,76.0421,50.151,35.3882,27.1197,22.2237,19.0656,16.8259,15.0956,13.6687,68.229,86.8115,98.5418,105.252,108.323,108.788,107.422,76.0421,50.151,35.3882,27.1197,22.2237,19.0656,16.8259,15.0956,13.6687,5000,2901.6,2210.4,1683.86,1282.74,977.177,744.401,567.075,64.3149,7.29428,0.827281,0.0938261,0.0106413,0.00120688,0.000136879,1.55241e-05,1.76067e-06,0,1936.61,2464.06,2797.01,2987.48,3074.63,3087.82,3049.05,2158.38,1423.48,1004.46,769.764,630.796,541.157,477.586,428.473,387.972,0,76.0647,152.292,241.59,337.76,436.344,534.193,629.13,1191.88,1428.48,1477.41,1436.36,1356.2,1261.87,1165.22,1071.67,983.544,75.2446,82.378,102.998,107.006,132.435,116.94,112.208,69.0073,52.7285,37.8918,27.695,20.6922,19.3665,17.5414,17.6462,11.2656
13.4269,0.937525,0.206822,4,15,0,-8.15112,4.04831,4.23181,23.0485,63.349,0.992024,0.105475,-0.992024,0.992024,0,0,-0.359248,0.183605,0,0.0668016,-0.0668016,0.175643,0.183605,0.0668016,0,77.1199,98.2885,111.624,119.145,122.397,122.562,120.54,80.0683,48.1737,31.3885,23.0126,18.6846,16.2463,14.6946,13.5703,12.6638,77.1199,98.2885,111.624,119.145,122.397,122.562,120.54,80.0683,48.1737,31.3885,23.0126,18.6846,16.2463,14.6946,13.5703,12.6638,5000,3044.77,2376,1854.13,1446.88,1129.08,881.083,687.558,94.5471,13.0013,1.78783,0.245848,0.0338069,0.00464884,0.000639269,8.79068e-05,1.20882e-05,0,1777.49,2265.4,2572.77,2746.11,2821.07,2824.88,2778.25,1845.45,1110.33,723.457,530.406,430.651,374.453,338.688,312.774,291.88,0,90.3151,181.655,289.371,406.081,526.386,646.397,763.374,1467.86,1777.56,1861.34,1839.55,1772.52,1688.18,1599.09,1510.78,1425.57,79.2694,101.941,120.66,118.39,119.255,101.607,95.2888,85.5028,46.1731,27.4973,17.1341,14.8524,16.3827,13.9674,13.8093,12.8423
