lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,K.1.1,K.2.1,K.3.1,K.1.2,K.2.2,K.3.2,K.1.3,K.2.3,K.3.3,k10,k12,k21,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,x.7.1,x.8.1,x.9.1,x.10.1,x.11.1,x.12.1,x.13.1,x.14.1,x.15.1,x.16.1,x.17.1,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,x.7.2,x.8.2,x.9.2,x.10.2,x.11.2,x.12.2,x.13.2,x.14.2,x.15.2,x.16.2,x.17.2,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,x.7.3,x.8.3,x.9.3,x.10.3,x.11.3,x.12.3,x.13.3,x.14.3,x.15.3,x.16.3,x.17.3,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16
# Adaptation terminated
# Step size = 0.177003
# Diagonal elements of inverse mass matrix:
# 0.0147354, 0.0191724, 0.0247701, 0.0798857, 0.0461735, 0.0784712
12.6514,0.999242,0.177003,3,7,0,-8.53062,4.61698,4.54682,25.9345,47.2405,1.02417,0.170536,-1.02417,1.02417,0,0,-0.353343,0.175319,0,0.0962483,-0.0962483,0.178024,0.175319,0.0962483,0,70.3473,89.4472,101.387,108.053,110.882,110.959,109.107,73.5949,46.1651,31.6815,24.203,20.0513,17.4579,15.6175,14.1666,12.9393,70.3473,89.4472,101.387,108.053,110.882,110.959,109.107,73.5949,46.1651,31.6815,24.203,20.0513,17.4579,15.6175,14.1666,12.9393,5000,2996.23,2319.41,1795.47,1389.89,1075.93,832.886,644.745,83.1392,10.7207,1.38242,0.178262,0.0229867,0.00296412,0.00038222,4.92868e-05,6.35549e-06,0,1824.43,2319.77,2629.42,2802.31,2875.66,2877.68,2829.64,1908.65,1197.27,821.645,627.695,520.022,452.763,405.034,367.403,335.576,0,88.23,176.686,280.251,391.637,505.583,618.357,727.382,1358.17,1601.18,1634.19,1574.95,1480.15,1375.05,1270.47,1170.81,1077.62,76.3565,81.9857,122.894,96.2405,118.369,109.033,101.239,62.0841,39.9495,41.6318,25.6537,20.5865,14.6929,15.4178,14.2446,13.4989
9.95775,0.973411,0.177003,4,31,0,-8.35411,4.43878,4.25618,21.6426,44.8579,0.874473,0.204067,-0.874473,0.874473,0,0,-0.401753,0.196658,0,0.0948815,-0.0948815,0.205095,0.196658,0.0948815,0,73.6539,94.5742,108.132,116.115,119.926,120.657,119.157,80.5732,48.9598,32.5247,24.4384,20.1749,17.5945,15.7741,14.3261,13.0874,73.6539,94.5742,108.132,116.115,119.926,120.657,119.157,80.5732,48.9598,32.5247,24.4384,20.1749,17.5945,15.7741,14.3261,13.0874,5000,3229.09,2594.99,2085.41,1675.89,1346.8,1082.32,869.786,151.305,26.3207,4.57867,0.796491,0.138555,0.0241027,0.00419283,0.000729373,0.00012688,0,1594.06,2046.83,2340.24,2513.02,2595.5,2611.32,2578.87,1743.81,1059.62,703.917,528.909,436.637,380.791,341.391,310.054,283.244,0,85.8336,173.049,276.156,388.021,503.347,618.268,730.021,1384.3,1631.75,1656.1,1586.13,1482.84,1371.95,1263.63,1161.56,1066.8,76.5577,70.234,146.996,152.932,114.895,119.092,116.53,76.7319,49.0644,27.8791,27.1382,23.5088,13.3649,19.4069,9.21348,11.7497
9.10532,0.971897,0.177003,3,15,0,-7.72055,4.40269,4.01974,20.7688,50.3787,0.886811,0.196024,-0.886811,0.886811,0,0,-0.405533,0.193547,0,0.0797905,-0.0797905,0.211986,0.193547,0.0797905,0,77.5179,99.3266,113.321,121.418,125.116,125.581,123.716,81.6701,48.0386,30.8217,22.5635,18.3942,16.0109,14.4166,13.1915,12.1594,77.5179,99.3266,113.321,121.418,125.116,125.581,123.716,81.6701,48.0386,30.8217,22.5635,18.3942,16.0109,14.4166,13.1915,12.1594,5000,3209.23,2571.09,2059.84,1650.25,1322.1,1059.21,848.586,144.02,24.4426,4.14833,0.704043,0.119488,0.0202792,0.00344173,0.00058412,9.91353e-05,0,1609.95,2062.89,2353.53,2521.7,2598.51,2608.17,2569.43,1696.19,997.703,640.129,468.617,382.024,332.526,299.415,273.972,252.536,0,85.666,172.729,275.691,387.461,502.775,617.792,729.772,1391.16,1652.48,1692.32,1636.58,1545.34,1444.3,1343.84,1247.92,1157.85,76.3235,117,96.1925,135.089,145.136,117.122,107.615,91.6257,45.0448,29.3898,17.3332,16.1818,18.5183,11.3282,10.1932,17.06
8.8833,0.909794,0.177003,5,31,0,-3.07024,5.49352,4.53919,24.4398,34.7186,0.89957,0.150502,-0.89957,0.89957,0,0,-0.410507,0.185729,0,0.130742,-0.130742,0.224777,0.185729,0.130742,0,66.5583,85.1491,97.0218,103.856,106.956,107.331,105.758,71.1441,43.9497,29.8898,22.7163,18.6236,15.9049,13.8515,12.1706,10.7356,66.5583,85.1491,97.0218,103.856,106.956,107.331,105.758,71.1441,43.9497,29.8898,22.7163,18.6236,15.9049,13.8515,12.1706,10.7356,5000,3188.83,2546.6,2033.72,1624.13,1297.04,1035.82,827.205,136.854,22.6412,3.74579,0.619707,0.102525,0.0169618,0.00280618,0.000464258,7.68073e-05,0,1626.67,2081.03,2371.2,2538.22,2613.99,2623.15,2584.72,1738.75,1074.12,730.501,555.184,455.158,388.714,338.529,297.448,262.376,0,82.4318,165.241,262.195,366.322,472.529,577.169,677.707,1230.55,1391.77,1357.56,1251.11,1126.35,1004.03,891.19,789.587,699.015,61.195,89.2929,87.025,101.289,87.5151,117.401,111.003,70.0767,38.2978,39.4865,22.9316,19.7631,18.2542,17.3441,11.404,11.35
5.97878,0.975339,0.177003,4,31,0,-3.30116,5.00172,4.24248,25.6016,23.1406,1.56799,0.171153,-1.56799,1.56799,0,0,-0.36108,0.165712,0,0.183335,-0.183335,0.195368,0.165712,0.183335,0,96.1147,115.675,124.798,127.291,125.682,121.638,116.246,71.9115,47.5926,35.162,27.9381,23.0959,19.4734,16.574,14.1682,12.136,96.1147,115.675,124.798,127.291,125.682,121.638,116.246,71.9115,47.5926,35.162,27.9381,23.0959,19.4734,16.574,14.1682,12.136,5000,2282.89,1542.56,1042.31,704.297,475.897,321.566,217.284,9.44246,0.410339,0.017832,0.000774922,3.36756e-05,1.46343e-06,6.35961e-08,2.76368e-09,1.20101e-10,0,2460.69,2961.47,3195.03,3258.86,3217.67,3114.11,2976.09,1841.05,1218.45,900.202,715.26,591.292,498.55,424.321,362.727,310.7,0,115.602,221.392,336.869,452.903,564.005,667.074,760.554,1175.95,1224.1,1135.13,1007.26,877.326,757.897,652.31,560.491,481.229,75.1622,115.761,151.966,241.765,172.635,104.678,114.356,58.4067,63.9738,36.1555,38.9631,19.729,18.0362,17.3343,14.5036,12.373
6.05594,0.97087,0.177003,3,7,0,-3.20661,4.86692,4.51368,27.2654,21.5448,1.37706,0.171727,-1.37706,1.37706,0,0,-0.344047,0.165546,0,0.209502,-0.209502,0.178501,0.165546,0.209502,0,83.1672,102.238,112.459,116.747,117.131,115.016,111.368,73.9044,50.8231,38.3922,30.8363,25.5825,21.56,18.3039,15.5921,13.3026,83.1672,102.238,112.459,116.747,117.131,115.016,111.368,73.9044,50.8231,38.3922,30.8363,25.5825,21.56,18.3039,15.5921,13.3026,5000,2511.57,1780.05,1261.6,894.144,633.717,449.141,318.324,20.2661,1.29024,0.0821429,0.00522962,0.000332943,2.11968e-05,1.34949e-06,8.59152e-08,5.46979e-09,0,2267.59,2787.57,3066.26,3183.16,3193.63,3135.95,3036.5,2015.04,1385.71,1046.78,840.766,697.518,587.842,499.064,425.126,362.7,0,104.219,201.885,310.308,420.925,528.293,629.112,721.539,1144.21,1197.49,1109.11,980.851,850.819,731.814,627.088,536.439,458.544,95.6214,85.4827,124.71,93.7107,150.38,81.3629,91.9323,69.1052,62.9392,34.0933,35.3249,30.3098,18.0741,17.7115,13.5053,13.7359
11.7618,0.98739,0.177003,5,31,0,-5.12024,3.78818,3.96067,23.5322,70.0034,1.05378,0.117721,-1.05378,1.05378,0,0,-0.329287,0.168309,0,0.0565782,-0.0565782,0.160979,0.168309,0.0565782,0,79.6945,101.313,114.831,122.39,125.611,125.719,123.637,82.9664,50.5599,32.9028,23.7387,18.8814,16.1559,14.4869,13.3487,12.4848,79.6945,101.313,114.831,122.39,125.611,125.719,123.637,82.9664,50.5599,32.9028,23.7387,18.8814,16.1559,14.4869,13.3487,12.4848,5000,2952.2,2268.47,1743.1,1339.4,1029.19,790.832,607.676,73.8541,8.97587,1.09088,0.132581,0.0161133,0.00195833,0.000238006,2.89261e-05,3.51554e-06,0,1875.39,2384.12,2702.24,2880.1,2955.89,2958.44,2909.46,1952.38,1189.78,774.275,558.623,444.321,380.184,340.908,314.125,293.794,0,87.698,176.242,280.606,393.706,510.397,626.995,740.918,1440.71,1773.4,1887.84,1893.63,1848.46,1780.8,1704.45,1626.02,1548.62,71.5192,103.168,97.3096,111.493,128.132,159.369,128.753,93.3288,49.2008,30.0424,22.8272,16.0909,20.4699,14.5731,14.2131,14.0185
13.9899,0.95747,0.177003,4,15,0,-10.9054,3.86381,3.97166,24.4148,58.8446,0.93159,0.110269,-0.93159,0.93159,0,0,-0.320931,0.162674,0,0.0674941,-0.0674941,0.158257,0.162674,0.0674941,0,70.0531,90.3503,103.817,112.093,116.46,117.914,117.231,84.0792,53.3738,35.661,26.1477,20.9504,17.9328,16.0131,14.6561,13.5982,70.0531,90.3503,103.817,112.093,116.46,117.914,117.231,84.0792,53.3738,35.661,26.1477,20.9504,17.9328,16.0131,14.6561,13.5982,5000,3138.18,2486.17,1969.63,1560.41,1236.21,979.371,775.892,120.402,18.6837,2.89931,0.44991,0.0698162,0.010834,0.0016812,0.000260885,4.04838e-05,0,1710.33,2205.89,2534.67,2736.73,2843.34,2878.86,2862.18,2052.78,1303.11,870.656,638.39,511.501,437.825,390.956,357.825,331.996,0,76.339,154.694,248.198,350.716,457.645,565.574,672.019,1345.36,1674.8,1785.96,1785.65,1732.86,1657.33,1573.54,1488.43,1405.23,61.5519,102.659,83.125,125.735,117.311,103.04,122.219,86.172,52.6646,44.8794,24.9642,16.8616,19.7224,16.2466,16.5341,16.07
13.2074,0.983731,0.177003,4,23,0,-11.9384,4.92706,5.38483,21.2381,37.5531,0.813088,0.11464,-0.813088,0.813088,0,0,-0.485537,0.253546,0,0.143392,-0.143392,0.231992,0.253546,0.143392,0,69.3691,88.7827,101.169,108.269,111.443,111.749,110.008,73.4357,45.8162,32.2277,25.4977,21.5856,18.8392,16.644,14.7727,13.1342,69.3691,88.7827,101.169,108.269,111.443,111.749,110.008,73.4357,45.8162,32.2277,25.4977,21.5856,18.8392,16.644,14.7727,13.1342,5000,3329.74,2717.25,2217.43,1809.55,1476.69,1205.07,983.401,193.415,38.041,7.48191,1.47154,0.289423,0.0569238,0.0111958,0.00220199,0.000433087,0,1473.27,1885.57,2148.64,2299.43,2366.83,2373.34,2336.37,1559.63,973.048,684.454,541.521,458.437,400.11,353.488,313.744,278.944,0,101.637,203.587,322.73,450.371,580.163,707.572,829.459,1482.38,1651.21,1594.06,1462.07,1315.76,1175.76,1047.92,933.101,830.573,83.1617,81.3385,113.976,110.068,122.924,94.75,115.305,67.816,45.1328,40.6067,27.8794,22.8268,17.7635,14.8749,15.9915,11.2763
12.3818,0.897231,0.177003,5,31,0,-10.828,4.5137,4.90161,19.8395,38.997,0.889266,0.119296,-0.889266,0.889266,0,0,-0.474575,0.247064,0,0.125692,-0.125692,0.227511,0.247064,0.125692,0,79.9393,101.537,114.853,122.036,124.744,124.248,121.518,77.594,47.0097,32.6337,25.8037,21.9862,19.3764,17.3106,15.5464,13.9895,79.9393,101.537,114.853,122.036,124.744,124.248,121.518,77.594,47.0097,32.6337,25.8037,21.9862,19.3764,17.3106,15.5464,13.9895,5000,3205.3,2566.36,2054.79,1645.19,1317.24,1054.66,844.43,142.612,24.0852,4.06766,0.686971,0.11602,0.0195941,0.00330917,0.000558873,9.43858e-05,0,1585.95,2014.44,2278.62,2421.13,2474.86,2465.02,2410.85,1539.42,932.648,647.434,511.931,436.194,384.417,343.434,308.431,277.544,0,107.526,214.689,339.325,472.261,606.892,738.571,864.139,1532.58,1711.27,1665.42,1543.98,1405.93,1271.68,1147.37,1034.25,931.956,91.9136,100.024,96.3406,105.902,128.428,109.936,109.986,82.8161,40.5052,35.0603,23.1122,23.6936,16.6831,17.9133,16.7482,13.9516
